Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,Reporting Year
1000112,110071159492.0,23rd and 3rd,BROOKLYN,NY,11232,730 3rd Avenue,Kings,40.663,-74.0,221112.0,"C,D",Power Plants,44658.384,44612.9,20.75,24.734,,,,,,,,,,63.2,44595.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1001106,110040862527.0,48th Street Peaking Station,HOLLAND,MI,49423,491 E 48TH ST,Allegan,42.7553,-86.0853,221112.0,"C,D",Power Plants,13841.0,13827.3,6.25,7.45,,,,,,,,,,30.1,13810.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1000766,110064649901.0,59th Street,NEW YORK,NY,10019,850 12TH AVE,New York,40.7711,-73.9911,221330.0,C,Power Plants,224910.106,224650.0,112.0,148.106,,,,,,,,,,224910.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1000767,110070834991.0,74th Street,NEW YORK,NY,10021,506 E 75TH ST,New York,40.768,-73.9515,221330.0,C,Power Plants,254385.114,254098.8,124.5,161.814,,,,,,,,,,254385.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1001033,110070116733.0,A B Brown Generating Station,MOUNT VERNON,IN,47620,8511 WELBORN ROAD,Posey,37.9053,-87.715,221112.0,D,Power Plants,2789540.744,2767288.8,8140.75,14111.194,,,,,,,,,,,2789540.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2019
1013527,,A.J. Mihm Generating Station,Pelkie,MI,49958,816017 Sarya Road,,46.793722,-88.616566,221112.0,C,Power Plants,99392.676,99290.2,46.75,55.726,,,,,,,,,,99392.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1002731,110071161104.0,ADA COGENERATION,ADA,MI,49355,7575 FULTON STREET EAST,KENT COUNTY,42.929287,-85.431127,221112.0,C,Power Plants,81392.592,81308.2,38.5,45.892,,,,,,,,,,81392.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1005310,110071162472.0,AES - PUERTO RICO COGENERATION PLANT,GUAYAMA,PR,785,"KM 142, RTE. #3 BO. JOBOS",GUAYAMA MUNICIPIO,17.945,-66.15027,221112.0,C,Power Plants,4455499.092,4428374.1,9921.75,17203.242,,,,,,,,,,4455499.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2019
1001444,110000522113.0,AES Alamitos,LONG BEACH,CA,90803,690 N STUDEBAKER ROAD,Los Angeles,33.7688,-118.1009,221112.0,"C,D",Power Plants,531900.472,531358.5,247.25,294.722,,,,,,,,,,89330.212,442570.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1005972,110027164164.0,AES HAWAII INC,KAPOLEI,HI,96707,91-086 KAOMI LP,HONOLULU COUNTY,21.306111,-158.108056,221112.0,C,Power Plants,1309102.42,1298421.9,3904.0,6776.52,,,,,,,,,,1309102.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2019
1001447,110002921713.0,AES Huntington Beach,HUNTINGTON BEACH,CA,92646,21730 NEWLAND ST,Orange,33.6436,-117.9788,221112.0,"C,D",Power Plants,255988.948,255728.1,119.0,141.848,,,,,,,,,,105548.404,150440.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1001450,110014322170.0,AES Redondo Beach,REDONDO BEACH,CA,90277,1100 N HARBOR DRIVE,Los Angeles,33.8504,-118.395,221112.0,D,Power Plants,171792.812,171618.0,79.75,95.062,,,,,,,,,,,171792.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1001223,110000551055.0,AES Warrior Run,CUMBERLAND,MD,21502,11600 MEXICO FARMS RD SE,Allegany,39.5944,-78.7456,221112.0,"C,D,PP","Power Plants,Suppliers of CO2",1226185.332,1216360.7,3593.75,6230.882,,,,,,,,,,160.6,1226024.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2019
